Name,Twitter_name,Team
JaVale McGee,@JaValeMcGee34,Denver Nuggets
Quincy Miller,@qmillertime,Denver Nuggets
Timofey Mozgov,@TimofeyMozgov,Denver Nuggets
Anthony Randolph,@TheARandolph,Denver Nuggets
J.J. Barea,@jjbareapr,Minnesota Timberwolves
Chase Budinger,@CBudinger,Minnesota Timberwolves
Dante Cunningham,@DlamarC33,Minnesota Timberwolves
Kevin Love,@kevinlove,Minnesota Timberwolves
Ricky Rubio,@rickyrubio9,Minnesota Timberwolves
Alexey Shved,@Shved23,Minnesota Timberwolves
LaMarcus Aldridge,@aldridge_12,Portland Trail Blazers
Will Barton,@WillTheThrillB5,Portland Trail Blazers
Nicolas Batum,@nicolas88batum,Portland Trail Blazers
Victor Claver,@Victor_Claver,Portland Trail Blazers
Robin Lopez,@eegabeeva88,Portland Trail Blazers
J.J. Hickson,@JJHickson31,Portland Trail Blazers
Mo Williams,@mowilliams,Portland Trail Blazers
Meyers Leonard,@MeyersLeonard11,Portland Trail Blazers
Damian Lillard,@Dame_Lillard,Portland Trail Blazers
Wesley Matthews,@wessywes2,Portland Trail Blazers
CJ McCollum,@CJMcCollum,Portland Trail Blazers
Thomas Robinson,@Trobinson0,Portland Trail Blazers
Dorell Wright,@DWRIGHTWAY1,Portland Trail Blazers
Earl Watson,@Earl_Watson,Portland Trail Blazers
Nick Collison,@nickcollison4,Oklahoma City Thunder
Kevin Durant,@KDTrey5,Oklahoma City Thunder
Serge Ibaka,@sergeibaka9,Oklahoma City Thunder
Reggie Jackson,@rjOKCson_15,Oklahoma City Thunder
Perry Jones III,@Perry_Jones1,Oklahoma City Thunder
Jeremy Lamb,@jlamb,Oklahoma City Thunder
Derek Fisher,@DerekFisher,Oklahoma City Thunder
Steve Adams,@RealStevenAdams,Oklahoma City Thunder
Eric Maynor,@EYMaynor3,Oklahoma City Thunder
Andre Roberson,@FlyDre21,Oklahoma City Thunder
Kendrick Perkins,@KendrickPerkins,Oklahoma City Thunder
Thabo Sefolosha,@ThaboSefolosha,Oklahoma City Thunder
Hasheem Thabeet,@HasheemTheDream,Oklahoma City Thunder
Russell Westbrook,@russwest44,Oklahoma City Thunder
Rudy Gobert,@rudygobert15,Utah Jazz
Alec Burks,@AlecBurks10,Utah Jazz
DeMarre Carroll,@DeMarreCarroll1,Utah Jazz
Jeremy Evans,@JeremyEvans40,Utah Jazz
Derrick Favors,@DFavors14,Utah Jazz
Randy Foye,@randyfoye,Utah Jazz
Malcolm Thomas,@Malcolm4Thomas,Utah Jazz
Gordon Hayward,@gordonhayward,Utah Jazz
Ian Clark,@IanClark,Utah Jazz
Enes Kanter,@Enes_Kanter,Utah Jazz
Brandon Rush,@BRush_25,Utah Jazz
Diante Garrett,@kingarrett10,Utah Jazz
John Lucas III,@Luke1luk,Utah Jazz
Harrison Barnes,@HBarnes,Golden State Warriors
Kent Bazemore,@kentbazmore20,Golden State Warriors
Jordan Crawford,@jcraw55,Golden State Warriors
Andrew Bogut,@andrewbogut,Golden State Warriors
Stephen Curry,@stephencurry30,Golden State Warriors
Festus Ezeli,@fezzyfel,Golden State Warriors
Draymond Green,@Money23Green,Golden State Warriors
Andre Iguodala,@andre,Golden State Warriors
Marreese Speights,@Mospeights16,Golden State Warriors
Nemanja Nedovic,@nedovic1624,Golden State Warriors
Marshon S. Brooks,@Marshon2,Golden State Warriors
David Lee,@DLee042,Golden State Warriors
Jermaine O’Neal,@jermaineoneal,Golden State Warriors
Matt Barnes,@Matt_Barnes22,Los Angeles Clippers
Jamal Crawford,@JCrossover,Los Angeles Clippers
Ryan Gomes,@gotgomes,Los Angeles Clippers
Willie Green,@WillieGreen33RO,Los Angeles Clippers
Blake Griffin,@blakegriffin,Los Angeles Clippers
Ryan Hollins,@TheRyanHollins,Los Angeles Clippers
DeAndre Jordan,@deandrejordan,Los Angeles Clippers
Chris Paul,@CP3,Los Angeles Clippers
Steve Blake,@SteveBlake5,Los Angeles Lakers
Kobe Byrant,@kobebryant,Los Angeles Lakers
Chris Kaman,@ChrisKaman,Los Angeles Lakers
Kendall Marshall,@KButter5,Los Angeles Lakers
Pau Gasol,@paugasol,Los Angeles Lakers
Jordan Hill,@jordanchill43,Los Angeles Lakers
Xavier Henry,@XavierHenry,Los Angeles Lakers
Jordan Farmar,@JrFarmar,Los Angeles Lakers
Jodie Meeks,@jmeeks20,Los Angeles Lakers
Steve Nash,@SteveNash,Los Angeles Lakers
Ryan Kelly,@RyanKelly34,Los Angeles Lakers
Robert Sacre,@Bobby_Sacre,Los Angeles Lakers
Goran Dragic,@Goran_Dragic,Phoenix Suns
Alex Len,@alexlen,Phoenix Suns
Channing Frye,@Channing_Frye,Phoenix Suns
Miles Plumlee,@milesplumlee13,Phoenix Suns
Marcin Gortat,@MGortat,Phoenix Suns
Archie Goodwin,@A1Laflare10,Phoenix Suns
Dionte Christmas,@Dchristmas22,Phoenix Suns
Markieff Morris,@keefmorris,Phoenix Suns
Marcus Morris,@MookMorris2,Phoenix Suns
Eric Bledsoe,@EBled2,Phoenix Suns
P.J. Tucker,@PJTUCKER17,Phoenix Suns
Aaron Gray,@AaronGray_34,Sacramento Kings
DeMarcus Cousins,@boogiecousins,Sacramento Kings
Ben McLemore,@BenMcLemore,Sacramento Kings
Jimmer Fredette,@jimmerfredette,Sacramento Kings
Carl Landry,@CarlLandry,Sacramento Kings
Rudy Gay,@rudygay22,Sacramento Kings
Ray McCallum,@RayMac3,Sacramento Kings
Travis Outlaw,@SippiCountryBoi,Sacramento Kings
Thomas Robinson,@Trobinson0,Sacramento Kings
Derrick Williams,@RealDwill7,Sacramento Kings
Isaiah Thomas,@Isaiah_Thomas2,Sacramento Kings
Jason Thompson,@jtthekid,Sacramento Kings
Marcus Thornton,@OfficialMT23,Sacramento Kings
Quincy Acy,@QuincyAcy,Sacramento Kings
