Name,Team,Twitter_name,Wiki,Division,Conference
Giannis Antetokounmpo,Milwaukee Bucks,@Giannis_An34,/wiki/Giannis_Antetokounmpo,Central Division,EASTERN CONFERENCE
Eric Bledsoe,Milwaukee Bucks,@EBled2,/wiki/Eric_Bledsoe,Central Division,EASTERN CONFERENCE
Joel Bolomboy,Milwaukee Bucks,@Bolomboy21,/wiki/Joel_Bolomboy,Central Division,EASTERN CONFERENCE
Malcolm Brogdon,Milwaukee Bucks,@JeffFischel,/wiki/Malcolm_Brogdon,Central Division,EASTERN CONFERENCE
Matthew Dellavedova,Milwaukee Bucks,@matthewdelly,/wiki/Matthew_Dellavedova,Central Division,EASTERN CONFERENCE
Sean Kilpatrick,Milwaukee Bucks,@SeanKilpatrick,/wiki/Sean_Kilpatrick,Central Division,EASTERN CONFERENCE
Thon Maker,Milwaukee Bucks,@ThonMaker14,/wiki/Thon_Maker,Central Division,EASTERN CONFERENCE
Khris Middleton,Milwaukee Bucks,@Khris22m,/wiki/Khris_Middleton,Central Division,EASTERN CONFERENCE
Jabari Parker,Milwaukee Bucks,@JabariParker,/wiki/Jabari_Parker,Central Division,EASTERN CONFERENCE
Mirza Teletovic,Milwaukee Bucks,@Teletovic33,/wiki/Mirza_Teletovi%C4%87,Central Division,EASTERN CONFERENCE
Jason Terry,Milwaukee Bucks,@jasonterry31,/wiki/Jason_Terry,Central Division,EASTERN CONFERENCE
Rashad Vaughn,Milwaukee Bucks,@ShowtimeMr1,/wiki/Rashad_Vaughn,Central Division,EASTERN CONFERENCE
D. J. Wilson,Milwaukee Bucks,@Lanky_Smoove,/wiki/D._J._Wilson,Central Division,EASTERN CONFERENCE
Luke Babbitt,Atlanta Hawks,@YungBabbitt,/wiki/Luke_Babbitt,Southeast Division,EASTERN CONFERENCE
Kent Bazemore,Atlanta Hawks,@24Bazemore,/wiki/Kent_Bazemore,Southeast Division,EASTERN CONFERENCE
Marco Belinelli,Atlanta Hawks,@marcobelinelli,/wiki/Marco_Belinelli,Southeast Division,EASTERN CONFERENCE
DeAndre' Bembry,Atlanta Hawks,@fearthefro95,/wiki/DeAndre%27_Bembry,Southeast Division,EASTERN CONFERENCE
Tyler Cavanaugh,Atlanta Hawks,@tycav34,/wiki/Tyler_Cavanaugh,Southeast Division,EASTERN CONFERENCE
Dewayne Dedmon,Atlanta Hawks,@d_dedmon3,/wiki/Dewayne_Dedmon,Southeast Division,EASTERN CONFERENCE
Malcolm Delaney,Atlanta Hawks,@foe23,/wiki/Malcolm_Delaney,Southeast Division,EASTERN CONFERENCE
Tyler Dorsey,Atlanta Hawks,@TDORSEY_1,/wiki/Tyler_Dorsey,Southeast Division,EASTERN CONFERENCE
Ersan Ilyasova,Atlanta Hawks,@ErsanIlyasova7,/wiki/Ersan_%C4%B0lyasova,Southeast Division,EASTERN CONFERENCE
Josh Magette,Atlanta Hawks,@ATLHawks,/wiki/Josh_Magette,Southeast Division,EASTERN CONFERENCE
Mike Muscala,Atlanta Hawks,@mikemuscala,/wiki/Mike_Muscala,Southeast Division,EASTERN CONFERENCE
Taurean Prince,Atlanta Hawks,@ATLHawks,/wiki/Taurean_Prince,Southeast Division,EASTERN CONFERENCE
Dennis Schröder,Atlanta Hawks,@DennisMike93,/wiki/Dennis_Schr%C3%B6der,Southeast Division,EASTERN CONFERENCE
Isaiah Taylor,Atlanta Hawks,@Zay_Ctmd11,/wiki/Isaiah_Taylor,Southeast Division,EASTERN CONFERENCE
Dwayne Bacon,Charlotte Hornets,@BaconDwayne1000,/wiki/Dwayne_Bacon,Southeast Division,EASTERN CONFERENCE
Nicolas Batum,Charlotte Hornets,@nicolas88batum,/wiki/Nicolas_Batum,Southeast Division,EASTERN CONFERENCE
Michael Carter-Williams,Charlotte Hornets,@MCW1,/wiki/Michael_Carter-Williams,Southeast Division,EASTERN CONFERENCE
Treveon Graham,Charlotte Hornets,@TreBall21,/wiki/Treveon_Graham,Southeast Division,EASTERN CONFERENCE
Dwight Howard,Charlotte Hornets,@DwightHoward,/wiki/Dwight_Howard,Southeast Division,EASTERN CONFERENCE
Frank Kaminsky,Charlotte Hornets,@fskpart3,/wiki/Frank_Kaminsky,Southeast Division,EASTERN CONFERENCE
Michael Kidd-Gilchrist,Charlotte Hornets,@MKG14,/wiki/Michael_Kidd-Gilchrist,Southeast Division,EASTERN CONFERENCE
Jeremy Lamb,Charlotte Hornets,@jlamb,/wiki/Jeremy_Lamb,Southeast Division,EASTERN CONFERENCE
Mangok Mathiang,Charlotte Hornets,@M_Mango32,/wiki/Mangok_Mathiang,Southeast Division,EASTERN CONFERENCE
Malik Monk,Charlotte Hornets,@AhmadMonk,/wiki/Malik_Monk,Southeast Division,EASTERN CONFERENCE
Johnny O'Bryant III,Charlotte Hornets,@johnnyObryant3,/wiki/Johnny_O%27Bryant_III,Southeast Division,EASTERN CONFERENCE
Marcus Paige,Charlotte Hornets,@marcuspaige5,/wiki/Marcus_Paige,Southeast Division,EASTERN CONFERENCE
Julyan Stone,Charlotte Hornets,@julyanrcstone,/wiki/Julyan_Stone,Southeast Division,EASTERN CONFERENCE
Kemba Walker,Charlotte Hornets,@KembaWalker,/wiki/Kemba_Walker,Southeast Division,EASTERN CONFERENCE
Cody Zeller,Charlotte Hornets,@CodyZeller,/wiki/Cody_Zeller,Southeast Division,EASTERN CONFERENCE
Bam Adebayo,Miami Heat,@Bam1of1,/wiki/Bam_Adebayo,Southeast Division,EASTERN CONFERENCE
